iter	Logloss
0	0.5936109697
1	0.5295362908
2	0.4854898921
3	0.4578536763
4	0.4382784266
5	0.4255495849
6	0.4190019258
7	0.4104519243
8	0.4065015194
9	0.4008275984
10	0.3972366459
11	0.3949111797
12	0.3927159001
13	0.3900575769
14	0.3884483814
15	0.3866743131
16	0.3851637387
17	0.3838166029
18	0.3824593373
19	0.3812795303
20	0.3800014628
21	0.3791847918
22	0.3783011751
23	0.3775643736
24	0.3766340595
25	0.3758672896
26	0.375114007
27	0.3745573718
28	0.3738679644
29	0.3733955428
30	0.3727816714
31	0.3723049546
32	0.3719220642
33	0.3715309768
34	0.3711027498
35	0.3706804424
36	0.3702676771
37	0.3697901355
38	0.3695087461
39	0.3692601612
40	0.36893771
41	0.3686712939
42	0.3684441926
43	0.3682301623
44	0.3680260032
45	0.367807575
46	0.3675163427
47	0.3672960893
48	0.3670698542
49	0.3669127961
