iter	Passed	Remaining
0	11	550
1	22	548
2	34	538
3	46	535
4	58	529
5	71	521
6	81	502
7	93	493
8	104	477
9	115	461
10	127	451
11	137	436
12	150	428
13	161	415
14	172	403
15	184	392
16	196	380
17	207	368
18	218	356
19	229	344
20	240	331
21	252	321
22	263	309
23	275	298
24	287	287
25	299	276
26	311	264
27	322	253
28	333	241
29	343	229
30	354	217
31	365	205
32	377	194
33	388	182
34	399	171
35	410	159
36	422	148
37	433	136
38	444	125
39	455	113
40	466	102
41	478	91
42	489	79
43	501	68
44	512	56
45	522	45
46	533	34
47	546	22
48	557	11
49	568	0
