원본컬럼(df1),매칭컬럼(df2),유사도
가구가중값,가구가중값,100.0000
가구소득코드,가구소득,80.0000
가구원가중값,가구원가중값,100.0000
가구원번호,가구원번호,100.0000
가구일련번호,가구일련번호,100.0000
가구주관계코드,가구주관계,83.3333
개인적인간관계만족도코드,개인적인간관계만족도,90.9091
거처종류코드,거처종류,80.0000
계층의식코드,계층의식,80.0000
고용안정성_불안사유_코로나관련여부,고용안정성_불안사유_코로나관련여부,100.0000
고용안정성코드,고용안정성,83.3333
과거해외여행경험여부,과거해외여행경험여부,100.0000
교육정도코드,교육정도,80.0000
국내관광여행_당일여행횟수,국내관광여행_당일여행횟수,100.0000
국내관광여행_미경험사유_코로나관련여부,국내관광여행_미경험사유_코로나관련여부,100.0000
국내관광여행_숙박여행1회평균숙박일수,국내관광여행_숙박여행1회평균숙박일수,100.0000
국내관광여행_숙박여행횟수,국내관광여행_숙박여행횟수,100.0000
국내관광여행경험여부,국내관광여행경험여부,100.0000
근로여건만족도_근로시간코드,근로여건만족도_근로시간,92.3077
근로여건만족도_근무환경코드,근로여건만족도_근무환경,92.3077
근로여건만족도_급여코드,근로여건만족도_급여,90.9091
근로여건만족도_복리후생코드,근로여건만족도_복리후생,92.3077
근로여건만족도_업무코드,근로여건만족도_업무,90.9091
근로여건만족도_인간관계코드,근로여건만족도_인간관계,92.3077
근로여건만족도_인사관리코드,근로여건만족도_인사관리,92.3077
근로여건만족도_일가정양립직장문화코드,근로여건만족도_일가정양립직장문화,94.4444
근로여건만족도_장래성코드,근로여건만족도_장래성,91.6667
근로여건만족도_전반적일자리코드,근로여건만족도_전반적일자리,93.3333
근로여건만족도_직장내교육훈련기회코드,근로여건만족도_직장내교육훈련기회,94.4444
근로여건만족도_직장내성희롱방지노력코드,근로여건만족도_직장내성희롱방지노력,94.7368
근로여건만족도_직장내폭력방지노력코드,근로여건만족도_직장내폭력방지노력,94.4444
기부내용_기타_물품횟수,기부내용_기타_물품횟수,100.0000
기부내용_기타_현금금액,기부내용_기타_현금금액,100.0000
기부내용_기타_현금주기코드,기부내용_기타_현금주기,92.3077
기부내용_기타_현금횟수,기부내용_기타_현금횟수,100.0000
기부내용_대상자직접후원_물품횟수,기부내용_대상자직접후원_물품횟수,100.0000
기부내용_대상자직접후원_현금금액,기부내용_대상자직접후원_현금금액,100.0000
기부내용_대상자직접후원_현금주기코드,기부내용_대상자직접후원_현금주기,94.4444
기부내용_대상자직접후원_현금횟수,기부내용_대상자직접후원_현금횟수,100.0000
기부내용_모금단체후원_현금금액,기부내용_모금단체후원_현금금액,100.0000
기부내용_모금단체후원_현금주기코드,기부내용_모금단체후원_현금주기,94.1176
기부내용_모금단체후원_현금횟수,기부내용_모금단체후원_현금횟수,100.0000
기부내용_물품주기코드,기부내용_물품주기,90.0000
기부내용_물품횟수,기부내용_물품횟수,100.0000
기부내용_물품후원단체후원_물품횟수,기부내용_물품후원단체후원_물품횟수,100.0000
기부내용_언론기관후원_물품횟수,기부내용_언론기관후원_물품횟수,100.0000
기부내용_언론기관후원_현금금액,기부내용_언론기관후원_현금금액,100.0000
기부내용_언론기관후원_현금주기코드,기부내용_언론기관후원_현금주기,94.1176
기부내용_언론기관후원_현금횟수,기부내용_언론기관후원_현금횟수,100.0000
기부내용_종교단체후원_물품횟수,기부내용_종교단체후원_물품횟수,100.0000
기부내용_종교단체후원_현금금액,기부내용_종교단체후원_현금금액,100.0000
기부내용_종교단체후원_현금주기코드,기부내용_종교단체후원_현금주기,94.1176
