항목명,2015,2017,2019,2021,2023,True_count
가구가중값,True,True,True,True,True,5
가구소득코드,True,True,True,True,True,5
가구원가중값,True,True,True,True,True,5
가구원번호,True,True,True,True,True,5
가구일련번호,True,True,True,True,True,5
가구주관계코드,True,True,True,True,True,5
개인적인간관계만족도코드,False,True,True,True,True,4
거처종류코드,True,True,True,True,True,5
계층의식코드,True,True,True,True,True,5
고용안정성_불안사유_코로나관련여부,False,False,False,True,False,1
고용안정성코드,True,True,True,True,True,5
과거해외여행경험여부,True,False,False,False,False,1
교육정도코드,True,True,True,True,True,5
국내관광여행_당일여행횟수,True,True,True,True,True,5
국내관광여행_미경험사유_코로나관련여부,False,False,False,True,False,1
국내관광여행_숙박여행1회평균숙박일수,True,True,True,True,True,5
국내관광여행_숙박여행횟수,True,True,True,True,True,5
국내관광여행경험여부,True,True,True,True,True,5
근로여건만족도_근로시간코드,True,True,True,True,True,5
근로여건만족도_근무환경코드,True,True,True,True,True,5
근로여건만족도_급여코드,True,True,True,True,True,5
근로여건만족도_복리후생코드,True,True,True,True,True,5
근로여건만족도_업무코드,True,True,True,True,True,5
근로여건만족도_인간관계코드,True,True,True,True,True,5
근로여건만족도_인사관리코드,True,True,True,True,True,5
근로여건만족도_일가정양립직장문화코드,False,True,True,True,True,4
근로여건만족도_장래성코드,True,True,True,True,True,5
근로여건만족도_전반적일자리코드,False,True,True,True,True,4
근로여건만족도_직장내교육훈련기회코드,True,True,True,True,True,5
근로여건만족도_직장내성희롱방지노력코드,True,False,False,False,False,1
근로여건만족도_직장내폭력방지노력코드,False,True,True,True,True,4
기부내용_기타_물품횟수,True,False,False,False,False,1
기부내용_기타_현금금액,True,True,True,True,True,5
기부내용_기타_현금주기코드,False,False,True,False,False,1
기부내용_기타_현금횟수,True,True,True,True,True,5
기부내용_대상자직접후원_물품횟수,True,False,False,False,False,1
기부내용_대상자직접후원_현금금액,True,True,True,True,True,5
기부내용_대상자직접후원_현금주기코드,False,False,True,False,False,1
기부내용_대상자직접후원_현금횟수,True,True,True,True,True,5
기부내용_모금단체후원_현금금액,True,True,True,True,True,5
기부내용_모금단체후원_현금주기코드,False,False,True,False,False,1
기부내용_모금단체후원_현금횟수,True,True,True,True,True,5
기부내용_물품주기코드,False,False,True,False,False,1
기부내용_물품횟수,False,True,True,True,True,4
기부내용_물품후원단체후원_물품횟수,True,False,False,False,False,1
기부내용_언론기관후원_물품횟수,True,False,False,False,False,1
기부내용_언론기관후원_현금금액,True,True,True,True,True,5
기부내용_언론기관후원_현금주기코드,False,False,True,False,False,1
기부내용_언론기관후원_현금횟수,True,True,True,True,True,5
기부내용_종교단체후원_물품횟수,True,False,False,False,False,1
기부내용_종교단체후원_현금금액,True,True,True,True,True,5
기부내용_종교단체후원_현금주기코드,False,False,True,False,False,1
기부내용_종교단체후원_현금횟수,True,True,True,True,True,5
기부내용_직장기업후원_물품횟수,True,False,False,False,False,1
기부내용_직장기업후원_현금금액,True,True,True,True,True,5
기부내용_직장기업후원_현금주기코드,False,False,True,False,False,1
기부내용_직장기업후원_현금횟수,True,True,True,True,True,5
기부대상인지경로코드,True,False,False,False,False,1
기부문화확산_1순위코드,True,True,True,True,True,5
기부문화확산_2순위코드,True,True,True,True,True,5
기부문화확산_3순위코드,True,True,True,True,True,5
기부사유코드,False,False,False,True,True,2
기부여부,True,True,True,True,True,5
기부종류코드,False,True,True,False,False,2
기부희망분야_1순위코드,True,True,True,True,True,5
기부희망분야_2순위코드,True,True,True,True,True,5
기부희망분야_3순위코드,True,True,True,True,True,5
긴축소비지출항목_1순위코드,True,True,True,True,True,5
긴축소비지출항목_2순위코드,True,True,True,True,True,5
긴축소비지출항목_3순위코드,True,True,True,True,True,5
내년가구재정상태코드,True,True,True,True,True,5
노후사회적관심사코드,True,True,True,False,False,3
노후사회적역할기타내용,False,False,False,True,False,1
노후사회적역할코드,False,False,False,False,True,1
노후생활주요활동_1순위코드,False,False,False,False,True,1
노후생활주요활동_2순위코드,False,False,False,False,True,1
노후생활주요활동_3순위코드,False,False,False,False,True,1
노후준비방법_노후미준비사유코드,True,True,True,True,True,5
노후준비방법_본인노후준비여부,True,True,True,True,True,5
노후준비방법_부수적방법코드,True,True,True,True,True,5
노후준비방법_주된방법코드,True,True,True,True,True,5
노후희망활동_1순위코드,False,False,False,False,True,1
노후희망활동_2순위코드,False,False,False,False,True,1
노후희망활동_3순위코드,False,False,False,False,True,1
노후희망활동코드,True,True,True,True,False,4
다문화가족여부,False,False,False,False,True,1
단체참여_기타_코로나관련여부,False,False,False,True,False,1
단체참여_기타여부,False,False,True,True,True,3
단체참여_시민사회단체_코로나관련여부,False,False,False,True,False,1
단체참여_시민사회단체여부,False,False,True,True,True,3
단체참여_이익단체_코로나관련여부,False,False,False,True,False,1
단체참여_이익단체여부,False,False,True,True,True,3
단체참여_정치단체_코로나관련여부,False,False,False,True,False,1
단체참여_정치단체여부,False,False,True,True,True,3
단체참여_종교단체_코로나관련여부,False,False,False,True,False,1
단체참여_종교단체여부,False,False,True,True,True,3
단체참여_지역사회모임_코로나관련여부,False,False,False,True,False,1
단체참여_지역사회모임여부,False,False,True,True,True,3
단체참여_취미스포츠여가활동단체_코로나관련여부,False,False,False,True,False,1
단체참여_취미스포츠여가활동단체여부,False,False,True,True,True,3
단체참여_친목사교단체_코로나관련여부,False,False,False,True,False,1
단체참여_친목사교단체여부,False,False,True,True,True,3
단체참여_학술단체_코로나관련여부,False,False,False,True,False,1
단체참여_학술단체여부,False,False,True,True,True,3
단체참여여부,True,True,False,False,False,2
독서_교양서적_전자책권수,False,False,False,True,True,2
독서_교양서적_종이책권수,False,False,False,True,True,2
독서_교양서적권수,True,True,True,True,False,4
독서_기타_오디오북권수,False,False,False,True,True,2
독서_기타_전자책권수,False,False,False,True,True,2
독서_기타_종이책권수,False,False,False,True,True,2
독서_기타권수,True,True,True,True,False,4
독서_생활취미정보서적_오디오북권수,False,False,False,True,True,2
독서_생활취미정보서적_전자책권수,False,False,False,True,True,2
독서_생활취미정보서적_종이책권수,False,False,False,True,True,2
독서_생활취미정보서적권수,True,True,True,True,False,4
독서_오디오북_교양서적권수,False,False,False,True,True,2
독서_잡지류_오디오북권수,False,False,False,True,True,2
독서_잡지류_전자책권수,False,False,False,True,True,2
독서_잡지류_종이책권수,False,False,False,True,True,2
독서_잡지류권수,True,True,True,True,False,4
독서_직업직무관련서적_오디오북권수,False,False,False,True,True,2
독서_직업직무관련서적_전자책권수,False,False,False,True,True,2
독서_직업직무관련서적_종이책권수,False,False,False,True,True,2
독서_직업직무관련서적권수,True,True,True,True,False,4
독서여부,True,True,True,True,True,5
레저시설_골프장이용횟수,True,True,True,True,True,5
레저시설_관광명소유적지국립공원이용횟수,True,True,True,True,True,5
레저시설_기타이용횟수,True,True,True,True,True,5
레저시설_놀이공원이용횟수,True,True,True,True,True,5
레저시설_산림욕장휴양림이용횟수,True,True,True,True,True,5
레저시설_수영장워터파크포함이용횟수,True,True,True,True,True,5
레저시설_스키장스케이트장이용횟수,False,False,True,True,True,3
레저시설_스키장이용횟수,True,True,False,False,False,2
레저시설_온천장스파이용횟수,True,True,True,True,True,5
레저시설_이용여부코드,False,False,False,False,True,1
레저시설_해수욕장이용횟수,True,True,True,True,True,5
레저시설이용횟수,True,True,True,True,False,4
만연령,True,True,True,True,True,5
문화예술스포츠관람_기타횟수,False,True,True,True,True,4
문화예술스포츠관람_무용_온라인횟수,False,False,False,True,False,1
문화예술스포츠관람_무용횟수,True,True,True,True,True,5
문화예술스포츠관람_문학행사(시화전도서전시회)_관람횟수,False,False,False,False,True,1
문화예술스포츠관람_미술관_온라인횟수,False,False,False,True,False,1
문화예술스포츠관람_미술관횟수,True,True,True,True,True,5
문화예술스포츠관람_박물관_온라인횟수,False,False,False,True,False,1
문화예술스포츠관람_박물관횟수,True,True,True,True,True,5
문화예술스포츠관람_스포츠횟수,True,True,True,True,True,5
문화예술스포츠관람_연극마당극뮤지컬_온라인횟수,False,False,False,True,False,1
문화예술스포츠관람_연극마당극뮤지컬횟수,True,True,True,True,True,5
문화예술스포츠관람_영화횟수,True,True,True,True,True,5
문화예술스포츠관람_음악연주회콘서트_온라인횟수,False,False,False,True,False,1
문화예술스포츠관람_음악연주회콘서트횟수,False,False,True,True,True,3
문화예술스포츠관람_음악연주회횟수,True,True,False,False,False,2
문화예술스포츠관람여부,True,True,True,True,True,5
미기부사유코드,True,True,True,True,True,5
배우자지난1주간경제활동여부,True,True,True,True,True,5
본인방역수칙준수코드,False,False,False,True,False,1
본인세대_계층이동코드,True,True,True,True,True,5
부채변화_증가사유_코로나관련여부,False,False,False,True,False,1
부채변화코드,True,True,True,True,True,5
분류코드_가구소득1코드,True,True,True,True,True,5
분류코드_가구소득2코드,True,True,True,True,True,5
분류코드_가구소득3코드,False,True,False,True,True,3
분류코드_가구원수,True,True,True,True,True,5
분류코드_가구원수2코드,False,False,False,True,True,2
분류코드_경제활동2여부,False,False,False,True,False,1
분류코드_경제활동여부,True,True,True,True,True,5
분류코드_계층의식코드,True,True,True,True,True,5
분류코드_고용안전성코드,True,True,False,False,False,2
분류코드_고용안정성여부,False,False,True,True,True,3
분류코드_교육정도코드,True,True,True,True,True,5
분류코드_기부여부,True,True,True,True,True,5
분류코드_다문화가족여부,False,False,False,False,True,1
분류코드_동부읍면부구분코드,True,True,True,True,True,5
분류코드_만13세이상여부,True,True,True,True,True,5
분류코드_만15세이상여부,True,True,True,True,True,5
분류코드_맞벌이1여부,True,True,True,True,True,5
분류코드_맞벌이2여부,True,True,True,True,True,5
분류코드_물품기부여부,True,True,True,True,True,5
분류코드_물품기부정기성여부,True,True,True,False,False,3
분류코드_산업별코드,True,True,True,True,True,5
분류코드_성별코드,True,True,True,True,True,5
분류코드_세대구분코드,True,True,True,True,True,5
분류코드_소득만족도코드,True,True,True,True,True,5
분류코드_연령10코드,True,True,True,True,True,5
분류코드_연령11코드,True,True,True,True,True,5
분류코드_연령12코드,True,True,True,True,True,5
분류코드_연령13코드,True,True,True,True,True,5
분류코드_연령14코드,False,False,False,True,True,2
분류코드_연령15코드,False,False,False,False,True,1
분류코드_연령16코드,False,False,False,False,True,1
분류코드_연령1코드,True,True,True,True,True,5
분류코드_연령2코드,True,True,True,True,True,5
분류코드_연령3코드,True,True,True,True,True,5
분류코드_연령4코드,True,True,True,True,True,5
분류코드_연령5코드,True,True,True,True,True,5
분류코드_연령6코드,True,True,True,True,True,5
분류코드_연령7코드,True,True,True,True,True,5
분류코드_연령8코드,True,True,True,True,True,5
분류코드_연령9코드,True,True,True,True,True,5
분류코드_연령교육정도별1코드,True,True,True,True,True,5
분류코드_연령교육정도별2코드,True,True,True,True,True,5
분류코드_연령교육정도별3코드,True,True,True,True,True,5
분류코드_연령교육정도별4코드,True,True,True,True,True,5
분류코드_연령교육정도별5코드,True,True,True,True,True,5
분류코드_연령교육정도별6코드,False,False,False,True,True,2
분류코드_연령교육정도별7코드,False,False,False,False,True,1
분류코드_연령성별10코드,False,False,False,True,True,2
분류코드_연령성별11코드,False,False,False,True,True,2
분류코드_연령성별1코드,True,True,True,True,True,5
분류코드_연령성별2코드,True,True,True,True,True,5
분류코드_연령성별3코드,True,True,True,True,True,5
분류코드_연령성별4코드,True,True,True,True,True,5
분류코드_연령성별5코드,True,True,True,True,True,5
분류코드_연령성별6코드,True,True,True,True,True,5
분류코드_연령성별7코드,True,True,True,True,True,5
분류코드_연령성별8코드,True,True,True,True,True,5
분류코드_연령성별9코드,True,True,True,True,True,5
분류코드_임금근로자구분코드,True,True,True,True,True,5
분류코드_자원봉사여부,True,True,True,True,True,5
분류코드_자원봉사정기성여부,True,True,True,False,False,3
분류코드_장애인복지카드_소유여부,True,True,True,True,True,5
분류코드_점유형태1코드,True,True,True,True,True,5
분류코드_점유형태2코드,True,True,True,True,True,5
분류코드_종사자지위코드,True,True,True,True,True,5
분류코드_주관적만족감코드,True,True,True,True,True,5
분류코드_주관적소득수준코드,True,True,True,True,True,5
분류코드_주택형태1코드,True,True,True,True,True,5
분류코드_주택형태2코드,True,True,True,True,True,5
분류코드_직업별코드,True,True,True,True,True,5
분류코드_청소년교육정도1코드,True,True,True,True,True,5
분류코드_청소년교육정도2코드,True,True,True,True,True,5
분류코드_현금기부여부,True,True,True,True,True,5
분류코드_현금기부정기성여부,True,True,True,False,False,3
분류코드_혼인상태2코드,False,False,False,True,True,2
분류코드_혼인상태코드,True,True,True,True,True,5
사회보험료부담인식_건강보험납부여부,True,True,True,False,True,4
사회보험료부담인식_건강보험부담정도코드,True,True,True,False,True,4
사회보험료부담인식_고용보험납부여부,True,True,True,False,True,4
사회보험료부담인식_고용보험부담정도코드,True,True,True,False,True,4
사회보험료부담인식_국민연금납부여부,True,True,True,False,True,4
사회보험료부담인식_국민연금부담정도코드,True,True,True,False,True,4
사회장애인차별정도코드,True,True,True,True,True,5
사회적관계망_가사도움요청대상유무,True,True,True,True,True,5
사회적관계망_가사도움요청대상인원수,True,True,True,True,True,5
사회적관계망_교류가족친척외유무,False,False,True,True,True,3
사회적관계망_교류가족친척외인원수,False,False,True,True,True,3
사회적관계망_교류가족친척유무,False,False,True,True,True,3
사회적관계망_교류가족친척인원수,False,False,True,True,True,3
사회적관계망_대화상대도움요청대상유무,True,True,True,True,True,5
사회적관계망_대화상대도움요청대상인원수,True,True,True,True,True,5
사회적관계망_자금차입도움요청대상유무,True,True,True,True,True,5
사회적관계망_자금차입도움요청대상인원수,True,True,True,True,True,5
사회적관계망변화_가족_변화정도코드,False,False,False,True,False,1
사회적관계망변화_가족외친인척_변화정도코드,False,False,False,True,False,1
사회적관계망변화_기타지인_변화정도코드,False,False,False,True,False,1
사회적관계망변화_동료_변화정도코드,False,False,False,True,False,1
사회적관계망변화_이웃_변화정도코드,False,False,False,True,False,1
사회적관계망변화_종교단체구성원_변화정도코드,False,False,False,True,False,1
사회적관계망변화_취미활동단체회원_변화정도코드,False,False,False,True,False,1
사회적관계망변화_친구_변화정도코드,False,False,False,True,False,1
생활비마련방법_본인및배우자부담코드,True,True,True,True,True,5
생활비마련방법_지원자녀및친척동거여부,True,False,False,False,False,1
생활비마련방법코드,True,True,True,True,True,5
생활여건변화_문화여가생활여건_코로나관련여부,False,False,False,True,False,1
생활여건변화_문화여가생활여건코드,True,True,True,True,True,5
생활여건변화_보건의료서비스_코로나관련여부,False,False,False,True,False,1
생활여건변화_보건의료서비스코드,True,True,True,True,True,5
생활여건변화_사회보장제도_코로나관련여부,False,False,False,True,False,1
생활여건변화_사회보장제도코드,True,True,True,True,True,5
생활여건변화_전반적생활여건_코로나관련여부,False,False,False,True,False,1
생활여건변화_전반적생활여건코드,True,True,True,True,True,5
선호장례방법코드,True,True,True,True,True,5
성별코드,True,True,True,True,True,5
성취만족도코드,False,True,True,True,True,4
소득만족도코드,True,True,True,True,True,5
소득변화_감소사유_코로나관련여부,False,False,False,True,False,1
소득변화코드,True,True,True,True,True,5
소비생활만족도코드,True,True,True,True,True,5
소비생활변화코드,False,False,False,True,False,1
신뢰코드,False,False,True,True,True,3
신문_인터넷신문구독분야코드,False,False,True,True,False,2
신문_인터넷신문구독여부,True,True,True,True,False,4
신문_인터넷신문구독주기코드,False,True,False,False,False,1
신문_일반신문구독분야코드,False,False,True,True,False,2
신문_일반신문구독여부,True,True,True,True,False,4
신문_일반신문구독주기코드,False,True,False,False,False,1
여가활동_동반자코드,True,False,False,False,False,1
여가활용_불만족사유코드,False,False,False,True,True,2
여가활용만족도코드,True,True,True,True,True,5
여가활용불만족사유코드,True,True,True,False,False,3
여성취업견해코드,True,True,True,True,True,5
여성취업시기코드,True,True,True,True,True,5
여성취업장애요인_1순위코드,True,True,True,True,True,5
여성취업장애요인_2순위코드,True,True,True,True,True,5
여성취업장애요인_3순위코드,True,True,True,True,True,5
우선실시장애인복지사업_1순위코드,True,True,True,True,True,5
우선실시장애인복지사업_2순위코드,True,True,True,True,True,5
우선실시장애인복지사업_3순위코드,True,True,True,True,True,5
원격수업_비효과사유_1순위코드,False,False,False,True,False,1
원격수업_비효과사유_2순위코드,False,False,False,True,False,1
원격수업_비효과사유_3순위코드,False,False,False,True,False,1
원격수업_효과성여부,False,False,False,True,False,1
원격수업여부,False,False,False,True,False,1
유산기부의사여부,True,False,True,False,True,3
일가정생활우선도코드,True,True,True,True,True,5
일가정양립제도인지도_가족돌봄휴직제인지여부,True,True,False,False,False,2
일가정양립제도인지도_배우자출산휴가제인지여부,True,True,False,False,False,2
일가정양립제도인지도_유연근무제인지여부,True,True,False,False,False,2
일가정양립제도인지도_육아기근로시간단축제인지여부,True,True,False,False,False,2
일가정양립제도인지도_육아휴직제인지여부,True,True,False,False,False,2
일가정양립제도인지도_직장보육지원인지여부,True,True,False,False,False,2
일가정양립제도인지도_출산전후휴가제인지여부,True,True,False,False,False,2
임금근로자구분코드,True,True,True,True,True,5
자녀유무,False,False,True,True,True,3
자식세대_계층이동코드,True,True,True,True,True,5
자원봉사_아동청소년노인장애인재소자관련시간수,False,False,False,True,False,1
자원봉사_아동청소년노인장애인재소자관련횟수,False,False,False,True,False,1
자원봉사활동_교육_1회평균활동시간수,False,False,False,False,True,1
자원봉사활동_교육_연간참여총횟수,False,False,False,False,True,1
자원봉사활동_국가및지역행사관련시간수,True,True,True,False,False,3
