항목명,코드,코드의미 및 단위
가구번호,,
가구원번호,,
만연령,,
성별코드,1,남
성별코드,2,여
가구주관계코드,1,가구주
가구주관계코드,2,배우자
가구주관계코드,3,미혼자녀
가구주관계코드,4,기혼자녀 및 그 배우자
가구주관계코드,5,손자녀 및 그 배우자
가구주관계코드,6,부모(배우자쪽 포함)
가구주관계코드,7,조부모(배우자쪽 포함)
가구주관계코드,8,미혼 형제.자매
가구주관계코드,9,기타 친.인척
가구주관계코드,10,기타 동거인
교육정도코드,0,무학
교육정도코드,1,초등학교
교육정도코드,2,중학교
교육정도코드,3,고등학교
교육정도코드,4,대학(4년제 미만)
교육정도코드,5,대학교(4년제 이상)
교육정도코드,6,대학원 석사과정
교육정도코드,7,대학원 박사 과정
재학상태코드,1,졸업
재학상태코드,2,재학
재학상태코드,3,수료
재학상태코드,4,휴학
재학상태코드,5,중퇴
재학학년코드,1,1학년
재학학년코드,2,2학년
재학학년코드,3,3학년
재학학년코드,4,4학년
재학학년코드,5,5학년
재학학년코드,6,6학년
혼인상태코드,1,미혼
혼인상태코드,2,배우자 있음
혼인상태코드,3,동거
혼인상태코드,4,사별
혼인상태코드,5,이혼
혼인상태코드,6,별거
장애인복지카드소유여부,1,가지고 있다
장애인복지카드소유여부,2,가지고 있지 않다
성취만족도코드,1,매우만족
성취만족도코드,2,약간만족
성취만족도코드,3,보통
성취만족도코드,4,약간불만족
성취만족도코드,5,매우불만족
주관적만족감코드,1,매우만족
주관적만족감코드,2,약간만족
주관적만족감코드,3,보통
주관적만족감코드,4,약간불만족
주관적만족감코드,5,매우불만족
생활여건변화_보건의료서비스코드,1,매우 좋아짐
생활여건변화_보건의료서비스코드,2,약간 좋아짐
생활여건변화_보건의료서비스코드,3,변화 없음
생활여건변화_보건의료서비스코드,4,약간 나빠짐
생활여건변화_보건의료서비스코드,5,매우 나빠짐
생활여건변화_사회보장제도코드,,[보건 의료 서비스] 코드 참조
생활여건변화_문화여가생활여건코드,,[보건 의료 서비스] 코드 참조
생활여건변화_전반적생활여건코드,,[보건 의료 서비스] 코드 참조
사회보험료부담인식_건강보험납부여부,1,납부한다
사회보험료부담인식_건강보험납부여부,2,납부하지 않는다
사회보험료부담인식_건강보험납부여부,1,매우 부담됨
사회보험료부담인식_건강보험납부여부,2,약간 부담됨
사회보험료부담인식_건강보험납부여부,3,보통임
사회보험료부담인식_건강보험납부여부,4,별로 부담 안 됨
사회보험료부담인식_건강보험납부여부,5,전혀 부담 안 됨
사회보험료부담인식_국민연금납부여부,,[건강보험 납부여부] 코드 참조
사회보험료부담인식_국민연금부담정도코드,,[건강보험 부담정도] 코드 참조
사회보험료부담인식_고용보험납부여부,,[건강보험 납부여부] 코드 참조
사회보험료부담인식_고용보험부담정도코드,,[건강보험 부담정도] 코드 참조
향후추가대상공공시설_1순위코드,1,국공립 어린이집 및 유치원
향후추가대상공공시설_1순위코드,2,"공원, 녹지, 산책로"
향후추가대상공공시설_1순위코드,3,"보건의료시설(공공병원, 보건소 등)"
향후추가대상공공시설_1순위코드,4,사회복지시설(장애인·노인복지시설 등)
향후추가대상공공시설_1순위코드,5,공영주차시설
향후추가대상공공시설_1순위코드,6,문화예술회관(시민회관 등)
향후추가대상공공시설_1순위코드,7,도서관
향후추가대상공공시설_1순위코드,8,체육시설 및 경기장
향후추가대상공공시설_1순위코드,9,기타(   )
향후추가대상공공시설_2순위코드,,향후 늘려야 할 공공시설[1순위] 코드 참조
향후추가대상공공시설_3순위코드,,향후 늘려야 할 공공시설[1순위] 코드 참조
향후추가대상복지서비스_1순위코드,1,고용(취업) 지원 서비스
향후추가대상복지서비스_1순위코드,2,소득 지원 서비스
향후추가대상복지서비스_1순위코드,3,주거 관련 서비스
향후추가대상복지서비스_1순위코드,4,안전 관련 서비스
향후추가대상복지서비스_1순위코드,5,보건의료·건강관리 서비스
향후추가대상복지서비스_1순위코드,6,보육 및 교육 관련 서비스
향후추가대상복지서비스_1순위코드,7,여가·문화 향유 지원 서비스
향후추가대상복지서비스_1순위코드,8,기타 (   )
향후추가대상복지서비스_2순위코드,,향후 늘려야 할 복지서비스[1순위] 코드 참조
향후추가대상복지서비스_3순위코드,,향후 늘려야 할 복지서비스[1순위] 코드 참조
선호장례방법코드,1,매장(묘지)
선호장례방법코드,2,"화장 후 봉안(납골당, 납골묘 등)"
선호장례방법코드,3,"화장 후 자연장(수목장, 잔디장 등)"
선호장례방법코드,4,기타(  )
장애인유대관계여부,1,있다
장애인유대관계여부,2,없다
장애인유대관계대상_1순위코드,1,가족
장애인유대관계대상_1순위코드,2,친척
장애인유대관계대상_1순위코드,3,직장 동료
장애인유대관계대상_1순위코드,4,"친구, 이웃"
장애인유대관계대상_1순위코드,5,"동호회(동아리, 모임 등)"
장애인유대관계대상_1순위코드,6,기타
장애인유대관계대상_2순위코드,,장애인 접촉 여부 및 대상[접촉대상[1순위] 코드 참조
장애인유대관계대상_3순위코드,,장애인 접촉 여부 및 대상[접촉대상[1순위] 코드 참조
장애구분인지여부,1,매우 잘 알고 있음
장애구분인지여부,2,조금 알고 있음
장애구분인지여부,3,잘 모름
사회장애인차별정도코드,4,전혀 모름
장애구분인지여부,1,전혀 없다
장애구분인지여부,2,별로 없다
장애구분인지여부,3,조금있다
장애구분인지여부,4,많이 있다
장애인관련시설견해코드,1,전혀반대하지 않음
