항목명,코드,코드의미 및 단위
주관적 만족감,1,매우만족
주관적 만족감,2,약간만족
주관적 만족감,3,보통
주관적 만족감,4,약간불만족
주관적 만족감,5,매우불만족
주관적 만족감_코로나,1,예
주관적 만족감_코로나,2,아니오
성취에 대한 만족도,1,매우만족
성취에 대한 만족도,2,약간만족
성취에 대한 만족도,3,보통
성취에 대한 만족도,4,약간불만족
성취에 대한 만족도,5,매우불만족
활동 제약 상태[안경을 써도 보는 데 어려움],1,전혀 어렵지 않다
활동 제약 상태[안경을 써도 보는 데 어려움],2,약간 어렵다
활동 제약 상태[안경을 써도 보는 데 어려움],3,상당히 어렵다
활동 제약 상태[안경을 써도 보는 데 어려움],4,전혀 할 수 없다
활동 제약 상태[보청기를 사용해도 듣는 데 어려움],1,전혀 어렵지 않다
활동 제약 상태[보청기를 사용해도 듣는 데 어려움],2,약간 어렵다
활동 제약 상태[보청기를 사용해도 듣는 데 어려움],3,상당히 어렵다
활동 제약 상태[보청기를 사용해도 듣는 데 어려움],4,전혀 할 수 없다
활동 제약 상태[계단을 오르는 데 어려움],1,전혀 어렵지 않다
활동 제약 상태[계단을 오르는 데 어려움],2,약간 어렵다
활동 제약 상태[계단을 오르는 데 어려움],3,상당히 어렵다
활동 제약 상태[계단을 오르는 데 어려움],4,전혀 할 수 없다
활동 제약 상태[기억하거나 집중하는 데 어려움],1,전혀 어렵지 않다
활동 제약 상태[기억하거나 집중하는 데 어려움],2,약간 어렵다
활동 제약 상태[기억하거나 집중하는 데 어려움],3,상당히 어렵다
활동 제약 상태[기억하거나 집중하는 데 어려움],4,전혀 할 수 없다
활동 제약 상태[스스로 자기 관리 활동을 하는 데 어려움],1,전혀 어렵지 않다
활동 제약 상태[스스로 자기 관리 활동을 하는 데 어려움],2,약간 어렵다
활동 제약 상태[스스로 자기 관리 활동을 하는 데 어려움],3,상당히 어렵다
활동 제약 상태[스스로 자기 관리 활동을 하는 데 어려움],4,전혀 할 수 없다
"활동 제약 상태[일상생활에서 말을 하거나 듣고, 이해하는 데 어려움]",1,전혀 어렵지 않다
"활동 제약 상태[일상생활에서 말을 하거나 듣고, 이해하는 데 어려움]",2,약간 어렵다
"활동 제약 상태[일상생활에서 말을 하거나 듣고, 이해하는 데 어려움]",3,상당히 어렵다
"활동 제약 상태[일상생활에서 말을 하거나 듣고, 이해하는 데 어려움]",4,전혀 할 수 없다
활동 제약 상태[안경을 써도 보는 데 어려움]_지속 예상 기간,1,6개월 미만
활동 제약 상태[안경을 써도 보는 데 어려움]_지속 예상 기간,2,6개월 이상
활동 제약 상태[보청기를 사용해도 듣는 데 어려움]_지속 예상 기간,1,6개월 미만
활동 제약 상태[보청기를 사용해도 듣는 데 어려움]_지속 예상 기간,2,6개월 이상
활동 제약 상태[계단을 오르는 데 어려움]_지속 예상 기간,1,6개월 미만
활동 제약 상태[계단을 오르는 데 어려움]_지속 예상 기간,2,6개월 이상
활동 제약 상태[기억하거나 집중하는 데 어려움]_지속 예상 기간,1,6개월 미만
활동 제약 상태[기억하거나 집중하는 데 어려움]_지속 예상 기간,2,6개월 이상
활동 제약 상태[스스로 자기 관리 활동을 하는 데 어려움]_지속 예상 기간,1,6개월 미만
활동 제약 상태[스스로 자기 관리 활동을 하는 데 어려움]_지속 예상 기간,2,6개월 이상
"활동 제약 상태[일상생활에서 말을 하거나 듣고, 이해하는 데 어려움]_지속 예상 기간",1,6개월 미만
"활동 제약 상태[일상생활에서 말을 하거나 듣고, 이해하는 데 어려움]_지속 예상 기간",2,6개월 이상
생활여건의 변화[전반적인 생활여건],1,매우 좋아짐
생활여건의 변화[전반적인 생활여건],2,약간 좋아짐
생활여건의 변화[전반적인 생활여건],3,변화 없음
생활여건의 변화[전반적인 생활여건],4,약간 나빠짐
생활여건의 변화[전반적인 생활여건],5,매우 나빠짐
생활여건의 변화[전반적인 생활여건]_코로나,1,예
생활여건의 변화[전반적인 생활여건]_코로나,2,아니오
생활여건의 변화[보건 의료 서비스],1,매우 좋아짐
생활여건의 변화[보건 의료 서비스],2,약간 좋아짐
생활여건의 변화[보건 의료 서비스],3,변화 없음
생활여건의 변화[보건 의료 서비스],4,약간 나빠짐
생활여건의 변화[보건 의료 서비스],5,매우 나빠짐
생활여건의 변화[보건 의료 서비스]_코로나,1,예
생활여건의 변화[보건 의료 서비스]_코로나,2,아니오
생활여건의 변화[사회보장제도],1,매우 좋아짐
생활여건의 변화[사회보장제도],2,약간 좋아짐
생활여건의 변화[사회보장제도],3,변화 없음
생활여건의 변화[사회보장제도],4,약간 나빠짐
생활여건의 변화[사회보장제도],5,매우 나빠짐
생활여건의 변화[사회보장제도]_코로나,1,예
생활여건의 변화[사회보장제도]_코로나,2,아니오
생활여건의 변화[문화·여가 생활 향유 여건],1,매우 좋아짐
생활여건의 변화[문화·여가 생활 향유 여건],2,약간 좋아짐
생활여건의 변화[문화·여가 생활 향유 여건],3,변화 없음
생활여건의 변화[문화·여가 생활 향유 여건],4,약간 나빠짐
생활여건의 변화[문화·여가 생활 향유 여건],5,매우 나빠짐
생활여건의 변화[문화·여가 생활 향유 여건]_코로나,1,예
생활여건의 변화[문화·여가 생활 향유 여건]_코로나,2,아니오
향후 늘려야 할 공공시설[1순위],1,국공립 어린이집 및 유치원
향후 늘려야 할 공공시설[1순위],2,"공원, 녹지, 산책로"
