원본컬럼(df1),매칭컬럼(df2),유사도,,,,,
가구가중값,가구가중값,100,,,,,
가구번호,가구번호,100,,,,,가구소득
가구소득,가구소득,100,,,,,가구원일련번호
가구소득코드,가구소득,80,190,,,,가구주와의관계
가구원가중값,가구원가중값,100,,,,,개인적인간관계만족도
가구원번호,가구원일련번호,100,,,,,거처의종류
가구원일련번호,가구원일련번호,100,,,,,계층의식
가구일련번호,가구일련번호,100,,,,,고용안정성
가구주관계코드,가구주와의관계,83.3333,,,,,고용의안정성_코로나
가구주와의 관계,가구주와의관계,93.3333,,,,,과거해외여행경험여부
개인적 인간관계 만족도,개인적인간관계만족도,90.9091,,,,,관람횟수_기타
개인적인간관계만족도코드,개인적인간관계만족도,90.9091,,,,,관람횟수_무용
거처의 종류,거처의종류,90.9091,,,,,관람횟수_미술관(공예서화전시회포함)
거처종류코드,거처의종류,80,,,,,관람횟수_박물관(유물전시회등포함)
계층의식,계층의식,100,,,,,관람횟수_스포츠
계층의식코드,계층의식,80,,,,,관람횟수_연극마당극뮤지컬
고용안정성코드,고용안정성,83.3333,,,,,관람횟수_영화
고용의 안정성,고용안정성,92.3077,,,,,관람횟수_음악연주회콘서트
고용의 안정성_코로나,고용의안정성_코로나,95.2381,,,,,교육정도
과거해외여행경험여부,과거해외여행경험여부,100,,,,,국가및지역행사등과관련시간
관람횟수[기타],관람횟수_기타,85.7143,,,,,국가및지역행사등과관련주기
관람횟수[무용],관람횟수_무용,85.7143,,,,,국가및지역행사등과관련횟수
"관람횟수[미술관(공예, 서화, 전시회 포함)]",관람횟수_미술관(공예서화전시회포함),83.7209,,,,,국내관광여행경험
관람횟수[박물관(유물 전시회 등 포함)],관람횟수_박물관(유물전시회등포함),87.1795,,,,,국내관광여행경험_코로나
관람횟수[스포츠],관람횟수_스포츠,87.5,,,,,국내관광여행당일여행횟수
관람횟수[연극·마당극·뮤지컬],관람횟수_연극마당극뮤지컬,85.7143,,,,,국내관광여행숙박여행1회평균일수
관람횟수[영화],관람횟수_영화,85.7143,,,,,국내관광여행숙박여행횟수
관람횟수[음악·연주회·콘서트],관람횟수_음악연주회콘서트,85.7143,,,,,국내관광여행경험여부
교육정도,교육정도,100,,,,,근로여건만족도_근로시간
교육정도코드,교육정도,80,,,,,근로여건만족도_근무환경
국가 및 지역 행사 등과 관련-시간,국가및지역행사등과관련시간,81.25,,,,,근로여건만족도_복리후생
국가 및 지역 행사 등과 관련-주기,국가및지역행사등과관련주기,81.25,,,,,근로여건만족도_인간관계
국가 및 지역 행사 등과 관련-횟수,국가및지역행사등과관련횟수,81.25,,,,,근로여건만족도_인사관리
국내 관광여행 경험,국내관광여행경험,88.8889,,,,,근로여건만족도_일가정양립직장문화
국내 관광여행 경험_코로나,국내관광여행경험_코로나,92.3077,,,,,근로여건만족도_급여
국내 관광여행[당일여행 횟수],국내관광여행당일여행횟수,85.7143,,,,,근로여건만족도_전반적일자리
국내 관광여행[숙박여행 1회평균 일수],국내관광여행숙박여행1회평균일수,86.4865,,,,,근로여건만족도_직장내교육훈련기회
국내 관광여행[숙박여행 횟수],국내관광여행숙박여행횟수,85.7143,,,,,근로여건만족도_직장내폭력방지노력
국내관광여행_당일여행횟수,국내관광여행_당일여행횟수,100,,,,,근로여건만족도_장래성
국내관광여행_숙박여행1회평균숙박일수,국내관광여행_숙박여행1회평균숙박일수,100,,,,,근로여건만족도_업무
국내관광여행_숙박여행횟수,국내관광여행_숙박여행횟수,100,,,,,근로여건만족도_직장내성희롱방지노력
국내관광여행경험여부,국내관광여행경험여부,100,,,,,기부문화확산1순위
근로 여건 만족도[근로시간],근로여건만족도_근로시간,84.6154,,,,,기부문화확산2순위
"근로 여건 만족도[근무환경(안전, 위생 상태 등)]",근로여건만족도_근무환경,83.3333,,,,,기부문화확산3순위
근로 여건 만족도[복리후생],근로여건만족도_복리후생,84.6154,,,,,기부여부
"근로 여건 만족도[인간관계(상하, 동료 간)]",근로여건만족도_인간관계,83.7209,,,,,기부희망분야1순위
"근로 여건 만족도[인사관리(승진, 배치, 이동)]",근로여건만족도_인사관리,82.6087,,,,,기부희망분야2순위
근로 여건 만족도[일·가정양립 직장문화],근로여건만족도_일가정양립직장문화,84.2105,,,,,기부희망분야3순위
근로 여건 만족도[임금(일에 비해)],근로여건만족도_급여,85.7143,,,,,기부내용기타현금금액
근로 여건 만족도[전반적인 일자리 만족도],근로여건만족도_전반적일자리,85,,,,,기부내용기타현금주기
근로 여건 만족도[직장 내 교육 훈련의 기회],근로여건만족도_직장내교육훈련기회,80.9524,,,,,기부내용기타현금횟수
"근로 여건 만족도[직장 내 폭력(언어폭력, 성희롱 등) 방지 노력]",근로여건만족도_직장내폭력방지노력,82.5397,,,,,기부내용_대상자에게직접후원현금금액
근로 여건 만족도[직장에서의 장래성],근로여건만족도_장래성,85.7143,,,,,기부내용_대상자에게직접후원현금주기
근로 여건 만족도[하는 일],근로여건만족도_업무,80,,,,,기부내용_대상자에게직접후원현금횟수
근로여건만족도_근로시간코드,근로여건만족도_근로시간,92.3077,,,,,기부내용_모금단체를통한후원현금금액
근로여건만족도_근무환경코드,근로여건만족도_근무환경,92.3077,,,,,기부내용_모금단체를통한후원현금주기
근로여건만족도_급여코드,근로여건만족도_급여,90.9091,,,,,기부내용_모금단체를통한후원현금횟수
근로여건만족도_복리후생코드,근로여건만족도_복리후생,92.3077,,,,,기부내용_언론기관을통한후원현금금액
근로여건만족도_업무코드,근로여건만족도_업무,90.9091,,,,,기부내용_언론기관을통한후원현금주기
근로여건만족도_인간관계코드,근로여건만족도_인간관계,92.3077,,,,,기부내용_언론기관을통한후원현금횟수
근로여건만족도_인사관리코드,근로여건만족도_인사관리,92.3077,,,,,기부내용_종교단체를통한후원현금금액
근로여건만족도_일가정양립직장문화코드,근로여건만족도_일가정양립직장문화,94.4444,,,,,기부내용_종교단체를통한후원현금주기
근로여건만족도_장래성코드,근로여건만족도_장래성,91.6667,,,,,기부내용_종교단체를통한후원현금횟수
근로여건만족도_전반적일자리코드,근로여건만족도_전반적일자리,93.3333,,,,,기부내용_직장(기업)을통한후원현금금액
근로여건만족도_직장내교육훈련기회코드,근로여건만족도_직장내교육훈련기회,94.4444,,,,,기부내용_직장(기업)을통한후원현금주기
근로여건만족도_직장내성희롱방지노력코드,근로여건만족도_직장내성희롱방지노력,94.7368,,,,,기부내용_직장(기업)을통한후원현금횟수
근로여건만족도_직장내폭력방지노력코드,근로여건만족도_직장내폭력방지노력,94.4444,,,,,기부내용_종교단체_물품횟수
기부 문화 확산[1순위],기부문화확산1순위,81.8182,,,,,기부종류
기부 문화 확산[2순위],기부문화확산2순위,81.8182,,,,,기부하지않은이유
기부 문화 확산[3순위],기부문화확산3순위,81.8182,,,,,기부한이유
기부 여부,기부여부,88.8889,,,,,기부희망분야_1순위
기부 희망 분야[1순위],기부희망분야1순위,81.8182,,,,,기부희망분야_2순위
기부 희망 분야[2순위],기부희망분야2순위,81.8182,,,,,기부희망분야_3순위
기부 희망 분야[3순위],기부희망분야3순위,81.8182,,,,,기타일반인을위한봉사관련시간
기부내용[기타-현금금액],기부내용기타현금금액,86.9565,,,,,기타일반인을위한봉사관련주기
기부내용[기타-현금주기],기부내용기타현금주기,86.9565,,,,,기타일반인을위한봉사관련횟수
기부내용[기타-현금횟수],기부내용기타현금횟수,86.9565,,,,,긴축소비지출항목_1순위
기부내용[대상자에게 직접 후원-현금금액],기부내용_대상자에게직접후원현금금액,87.1795,,,,,긴축소비지출항목_2순위
기부내용[대상자에게 직접 후원-현금주기],기부내용_대상자에게직접후원현금주기,87.1795,,,,,긴축소비지출항목_3순위
기부내용[대상자에게 직접 후원-현금횟수],기부내용_대상자에게직접후원현금횟수,87.1795,,,,,내년가구의재정상태
기부내용[모금단체를 통한 후원-현금금액],기부내용_모금단체를통한후원현금금액,87.1795,,,,,노후준비방법_노후미준비사유
기부내용[모금단체를 통한 후원-현금주기],기부내용_모금단체를통한후원현금주기,87.1795,,,,,노후준비방법_부수적인것
기부내용[모금단체를 통한 후원-현금횟수],기부내용_모금단체를통한후원현금횟수,87.1795,,,,,노후준비방법_부수적방법
기부내용[언론기관을 통한 후원-현금금액],기부내용_언론기관을통한후원현금금액,87.1795,,,,,노후를보내고싶은방법
기부내용[언론기관을 통한 후원-현금주기],기부내용_언론기관을통한후원현금주기,87.1795,,,,,노후를위한사회적관심사
기부내용[언론기관을 통한 후원-현금횟수],기부내용_언론기관을통한후원현금횟수,87.1795,,,,,노후를위한사회적역할
기부내용[종교단체를 통한 후원-현금금액],기부내용_종교단체를통한후원현금금액,87.1795,,,,,노후생활주요활동_1순위
기부내용[종교단체를 통한 후원-현금주기],기부내용_종교단체를통한후원현금주기,87.1795,,,,,노후생활주요활동_2순위
기부내용[종교단체를 통한 후원-현금횟수],기부내용_종교단체를통한후원현금횟수,87.1795,,,,,노후생활주요활동_3순위
기부내용[직장(기업)을 통한 후원-현금금액],기부내용_직장(기업)을통한후원현금금액,88.3721,,,,,노후준비방법_본인노후준비여부
기부내용[직장(기업)을 통한 후원-현금주기],기부내용_직장(기업)을통한후원현금주기,88.3721,,,,,노후준비방법_주된방법
기부내용[직장(기업)을 통한 후원-현금횟수],기부내용_직장(기업)을통한후원현금횟수,88.3721,,,,,노후희망활동_1순위
기부내용_기타_물품횟수,기부내용_기타_물품횟수,100,,,,,노후희망활동_2순위
기부내용_기타_현금금액,기부내용_기타_현금금액,100,,,,,노후희망활동_3순위
기부내용_기타_현금횟수,기부내용_기타_현금횟수,100,,,,,노후희망활동
기부내용_대상자직접후원_물품횟수,기부내용_대상자직접후원_물품횟수,100,,,,,다문화가족여부
기부내용_대상자직접후원_현금금액,기부내용_대상자직접후원_현금금액,100,,,,,단체참여_기타여부
기부내용_대상자직접후원_현금횟수,기부내용_대상자직접후원_현금횟수,100,,,,,단체참여_기타_코로나
기부내용_모금단체후원_현금금액,기부내용_모금단체후원_현금금액,100,,,,,단체참여_시민사회단체여부
기부내용_모금단체후원_현금횟수,기부내용_모금단체후원_현금횟수,100,,,,,단체참여시민사회단체_코로나
기부내용_물품주기,기부내용_물품주기,100,,,,,단체참여_이익단체여부
기부내용_물품횟수,기부내용_물품횟수,100,,,,,단체참여_이익단체_코로나
기부내용_물품후원단체후원_물품횟수,기부내용_물품후원단체후원_물품횟수,100,,,,,단체참여_정치단체여부
기부내용_언론기관후원_물품횟수,기부내용_언론기관후원_물품횟수,100,,,,,단체참여_정치단체_코로나
기부내용_언론기관후원_현금금액,기부내용_언론기관후원_현금금액,100,,,,,단체참여_종교단체여부
기부내용_언론기관후원_현금횟수,기부내용_언론기관후원_현금횟수,100,,,,,단체참여_종교단체_코로나
기부내용_종교단체_물품횟수,기부내용_종교단체_물품횟수,100,,,,,단체참여_지역사회모임여부
기부내용_종교단체후원_현금금액,기부내용_종교단체후원_현금금액,100,,,,,단체참여_지역사회모임_코로나
기부내용_종교단체후원_현금횟수,기부내용_종교단체후원_현금횟수,100,,,,,단체참여_취미스포츠여가활동단체여부
기부내용_직장기업후원_물품횟수,기부내용_직장기업후원_물품횟수,100,,,,,단체참여_취미스포츠및여가활동단체_코로나
기부내용_직장기업후원_현금금액,기부내용_직장기업후원_현금금액,100,,,,,단체참여_친목사교단체여부
기부내용_직장기업후원_현금횟수,기부내용_직장기업후원_현금횟수,100,,,,,단체참여_친목및사교단체_코로나
기부대상인지경로코드,기부대상인지경로,88.8889,,,,,단체참여_학술단체여부
기부문화확산_1순위코드,기부문화확산_1순위,90.9091,,,,,단체참여_학술단체_코로나
기부문화확산_2순위코드,기부문화확산_2순위,90.9091,,,,,단체참여여부
기부문화확산_3순위코드,기부문화확산_3순위,90.9091,,,,,독서권수교양서적(종교소설시집역사예술서적등)
기부사유코드,기부사유,80,,,,,독서권수기타(만화무협지등)
기부여부,기부여부,100,,,,,독서권수생활취미정보서적(육아꽃꽃이등산낚시서적등)
기부종류,기부종류,100,,,,,독서권수잡지류(주간월간기타)
기부종류코드,기부종류,80,,,,,독서권수직업(직무)과관련한서적들)
기부하지 않은 이유,기부하지않은이유,88.8889,,,,,독서여부
기부한 이유,기부한이유,90.9091,,,,,레저시설이용횟수
기부희망분야_1순위코드,기부희망분야_1순위,90.9091,,,,,레저시설_이용여부
기부희망분야_2순위코드,기부희망분야_2순위,90.9091,,,,,만나이
기부희망분야_3순위코드,기부희망분야_3순위,90.9091,,,,,문화예술및스포츠관람
기타 일반인을 위한 봉사 관련-시간,기타일반인을위한봉사관련시간,84.8485,,,,,문화예술스포츠관람여부
기타 일반인을 위한 봉사 관련-주기,기타일반인을위한봉사관련주기,84.8485,,,,,배우자지난1주간경제활동여부
