항목명,2015,2017,2019,2021,2023,False_count
가구가중값,True,True,False,False,False,3
가구번호,True,True,False,False,False,3
가구소득,False,False,True,True,False,3
가구소득코드,True,True,False,False,True,2
가구원가중값,True,True,False,False,False,3
가구원번호,True,True,False,False,False,3
가구원일련번호,False,False,True,False,False,4
가구일련번호,False,False,True,False,False,4
가구주관계코드,True,True,False,False,True,2
가구주와의 관계,False,False,True,True,False,3
개인적 인간관계 만족도,False,False,True,True,False,3
개인적인간관계만족도코드,False,True,False,False,True,3
거처의 종류,False,False,True,True,False,3
거처종류코드,True,True,False,False,True,2
계층의식,False,False,True,True,False,3
계층의식코드,True,True,False,False,True,2
고용안정성코드,True,True,False,False,True,2
고용의 안정성,False,False,True,True,False,3
고용의 안정성_코로나,False,False,False,True,False,4
과거해외여행경험여부,True,False,False,False,False,4
관람횟수[기타],False,False,True,False,False,4
관람횟수[무용],False,False,True,False,False,4
"관람횟수[미술관(공예, 서화, 전시회 포함)]",False,False,True,False,False,4
관람횟수[박물관(유물 전시회 등 포함)],False,False,True,False,False,4
관람횟수[스포츠],False,False,True,False,False,4
관람횟수[연극·마당극·뮤지컬],False,False,True,False,False,4
관람횟수[영화],False,False,True,False,False,4
관람횟수[음악·연주회·콘서트],False,False,True,False,False,4
교육정도,False,False,True,True,False,3
교육정도코드,True,True,False,False,True,2
국가 및 지역 행사 등과 관련-시간,False,False,True,False,False,4
국가 및 지역 행사 등과 관련-주기,False,False,True,False,False,4
국가 및 지역 행사 등과 관련-횟수,False,False,True,False,False,4
국내 관광여행 경험,False,False,True,True,False,3
국내 관광여행 경험_코로나,False,False,False,True,False,4
국내 관광여행[당일여행 횟수],False,False,True,False,False,4
국내 관광여행[숙박여행 1회평균 일수],False,False,True,False,False,4
국내 관광여행[숙박여행 횟수],False,False,True,False,False,4
국내관광여행_당일여행횟수,True,True,False,False,False,3
국내관광여행_숙박여행1회평균숙박일수,True,True,False,False,False,3
국내관광여행_숙박여행횟수,True,True,False,False,False,3
국내관광여행경험여부,True,True,False,False,True,2
근로 여건 만족도[근로시간],False,False,True,True,False,3
"근로 여건 만족도[근무환경(안전, 위생 상태 등)]",False,False,True,True,False,3
근로 여건 만족도[복리후생],False,False,True,True,False,3
"근로 여건 만족도[인간관계(상하, 동료 간)]",False,False,True,True,False,3
"근로 여건 만족도[인사관리(승진, 배치, 이동)]",False,False,True,True,False,3
근로 여건 만족도[일·가정양립 직장문화],False,False,True,True,False,3
근로 여건 만족도[임금(일에 비해)],False,False,True,True,False,3
근로 여건 만족도[전반적인 일자리 만족도],False,False,True,True,False,3
근로 여건 만족도[직장 내 교육 훈련의 기회],False,False,True,True,False,3
"근로 여건 만족도[직장 내 폭력(언어폭력, 성희롱 등) 방지 노력]",False,False,True,True,False,3
근로 여건 만족도[직장에서의 장래성],False,False,True,True,False,3
근로 여건 만족도[하는 일],False,False,True,True,False,3
근로여건만족도_근로시간코드,True,True,False,False,True,2
근로여건만족도_근무환경코드,True,True,False,False,True,2
근로여건만족도_급여코드,True,True,False,False,True,2
근로여건만족도_복리후생코드,True,True,False,False,True,2
근로여건만족도_업무코드,True,True,False,False,True,2
근로여건만족도_인간관계코드,True,True,False,False,True,2
근로여건만족도_인사관리코드,True,True,False,False,True,2
근로여건만족도_일가정양립직장문화코드,False,True,False,False,True,3
근로여건만족도_장래성코드,True,True,False,False,True,2
근로여건만족도_전반적일자리코드,False,True,False,False,True,3
근로여건만족도_직장내교육훈련기회코드,True,True,False,False,True,2
근로여건만족도_직장내성희롱방지노력코드,True,False,False,False,False,4
근로여건만족도_직장내폭력방지노력코드,False,True,False,False,True,3
기부 문화 확산[1순위],False,False,True,True,False,3
기부 문화 확산[2순위],False,False,True,True,False,3
기부 문화 확산[3순위],False,False,True,True,False,3
기부 여부,False,False,False,True,False,4
기부 희망 분야[1순위],False,False,True,True,False,3
기부 희망 분야[2순위],False,False,True,True,False,3
기부 희망 분야[3순위],False,False,True,True,False,3
기부내용[기타-현금금액],False,False,True,False,False,4
기부내용[기타-현금주기],False,False,True,False,False,4
기부내용[기타-현금횟수],False,False,True,False,False,4
기부내용[대상자에게 직접 후원-현금금액],False,False,True,False,False,4
기부내용[대상자에게 직접 후원-현금주기],False,False,True,False,False,4
기부내용[대상자에게 직접 후원-현금횟수],False,False,True,False,False,4
기부내용[모금단체를 통한 후원-현금금액],False,False,True,False,False,4
기부내용[모금단체를 통한 후원-현금주기],False,False,True,False,False,4
기부내용[모금단체를 통한 후원-현금횟수],False,False,True,False,False,4
기부내용[언론기관을 통한 후원-현금금액],False,False,True,False,False,4
기부내용[언론기관을 통한 후원-현금주기],False,False,True,False,False,4
기부내용[언론기관을 통한 후원-현금횟수],False,False,True,False,False,4
기부내용[종교단체를 통한 후원-현금금액],False,False,True,False,False,4
기부내용[종교단체를 통한 후원-현금주기],False,False,True,False,False,4
기부내용[종교단체를 통한 후원-현금횟수],False,False,True,False,False,4
기부내용[직장(기업)을 통한 후원-현금금액],False,False,True,False,False,4
기부내용[직장(기업)을 통한 후원-현금주기],False,False,True,False,False,4
기부내용[직장(기업)을 통한 후원-현금횟수],False,False,True,False,False,4
기부내용_기타_물품횟수,True,False,False,False,False,4
기부내용_기타_현금금액,True,True,False,False,False,3
기부내용_기타_현금횟수,True,True,False,False,False,3
기부내용_대상자직접후원_물품횟수,True,False,False,False,False,4
기부내용_대상자직접후원_현금금액,True,True,False,False,False,3
기부내용_대상자직접후원_현금횟수,True,True,False,False,False,3
기부내용_모금단체후원_현금금액,True,True,False,False,False,3
기부내용_모금단체후원_현금횟수,True,True,False,False,False,3
기부내용_물품주기,False,False,True,False,False,4
기부내용_물품횟수,False,True,True,False,False,3
기부내용_물품후원단체후원_물품횟수,True,False,False,False,False,4
기부내용_언론기관후원_물품횟수,True,False,False,False,False,4
기부내용_언론기관후원_현금금액,True,True,False,False,False,3
기부내용_언론기관후원_현금횟수,True,True,False,False,False,3
기부내용_종교단체_물품횟수,True,False,False,False,False,4
기부내용_종교단체후원_현금금액,True,True,False,False,False,3
기부내용_종교단체후원_현금횟수,True,True,False,False,False,3
기부내용_직장기업후원_물품횟수,True,False,False,False,False,4
기부내용_직장기업후원_현금금액,True,True,False,False,False,3
기부내용_직장기업후원_현금횟수,True,True,False,False,False,3
기부대상인지경로코드,True,False,False,False,False,4
기부문화확산_1순위코드,True,True,False,False,True,2
기부문화확산_2순위코드,True,True,False,False,True,2
기부문화확산_3순위코드,True,True,False,False,True,2
기부사유코드,False,False,False,False,True,4
기부여부,True,True,True,False,True,1
기부종류,False,False,True,False,False,4
기부종류코드,False,True,False,False,False,4
기부하지 않은 이유,False,False,True,True,False,3
기부한 이유,False,False,False,True,False,4
기부희망분야_1순위코드,True,True,False,False,True,2
기부희망분야_2순위코드,True,True,False,False,True,2
기부희망분야_3순위코드,True,True,False,False,True,2
기타 일반인을 위한 봉사 관련-시간,False,False,True,False,False,4
기타 일반인을 위한 봉사 관련-주기,False,False,True,False,False,4
기타 일반인을 위한 봉사 관련-횟수,False,False,True,False,False,4
긴축 소비 지출 항목[1순위],False,False,True,True,False,3
긴축 소비 지출 항목[2순위],False,False,True,True,False,3
긴축 소비 지출 항목[3순위],False,False,True,True,False,3
긴축소비지출항목_1순위코드,True,True,False,False,True,2
긴축소비지출항목_2순위코드,True,True,False,False,True,2
긴축소비지출항목_3순위코드,True,True,False,False,True,2
내년 가구의 재정 상태,False,False,True,True,False,3
내년가구재정상태코드,True,True,False,False,True,2
노후 준비방법_노후준비하고 있지 않은 이유,False,False,True,True,False,3
노후 준비방법_부수적인 것,False,False,True,True,False,3
노후 준비방법_주된 것,False,False,True,True,False,3
노후를 보내고 싶은 방법,False,False,True,True,False,3
노후를 위한 사회적 관심사,False,False,True,False,False,4
노후를 위한 사회적 역할,False,False,False,True,False,4
노후사회적관심사코드,True,True,False,False,False,3
노후사회적역할코드,False,False,False,False,True,4
노후생활주요활동_1순위코드,False,False,False,False,True,4
노후생활주요활동_2순위코드,False,False,False,False,True,4
노후생활주요활동_3순위코드,False,False,False,False,True,4
노후준비방법_노후미준비사유코드,True,True,False,False,True,2
노후준비방법_본인노후준비여부,True,True,False,False,True,2
노후준비방법_부수적방법코드,True,True,False,False,True,2
노후준비방법_주된방법코드,True,True,False,False,True,2
노후희망활동_1순위코드,False,False,False,False,True,4
노후희망활동_2순위코드,False,False,False,False,True,4
노후희망활동_3순위코드,False,False,False,False,True,4
노후희망활동코드,True,True,False,False,False,3
다문화가족여부,False,False,False,False,True,4
단체참여[기타],False,False,True,True,False,3
단체참여[기타]_코로나,False,False,False,True,False,4
단체참여[시민 사회단체],False,False,True,True,False,3
단체참여[시민 사회단체]_코로나,False,False,False,True,False,4
단체참여[이익 단체],False,False,True,True,False,3
단체참여[이익 단체]_코로나,False,False,False,True,False,4
단체참여[정치 단체],False,False,True,True,False,3
단체참여[정치 단체]_코로나,False,False,False,True,False,4
